Ground,Margin,Match Date,Scorecard,Team 1,Team 2,Winner,Number of Records
Bloemfontein,6 wickets,08/03/2003,ODI # 1984,New Zealand,Zimbabwe,New Zealand,1
Johannesburg,183 runs,10/03/2003,ODI # 1985,India,Sri Lanka,India,1
Port Elizabeth,96 runs,11/03/2003,ODI # 1986,Australia,New Zealand,Australia,1
Bloemfontein,7 wickets,12/03/2003,ODI # 1987,Kenya,Zimbabwe,Kenya,1
Centurion,7 wickets,14/03/2003,ODI # 1988,India,New Zealand,India,1
East London,74 runs,15/03/2003,ODI # 1989,Sri Lanka,Zimbabwe,Sri Lanka,1
Durban,5 wickets,15/03/2003,ODI # 1990,Australia,Kenya,Australia,1
Port Elizabeth,48 runs,18/03/2003,ODI # 1991,Australia,Sri Lanka,Australia,1
Durban,91 runs,20/03/2003,ODI # 1992,India,Kenya,India,1
Johannesburg,125 runs,23/03/2003,ODI # 1993,Australia,India,Australia,1
Kingston,54 runs,13/03/2007,ODI # 2531,West Indies,Pakistan,West Indies,1
Basseterre,203 runs,14/03/2007,ODI # 2532,Australia,Scotland,Australia,1
Gros Islet,7 wickets,14/03/2007,ODI # 2533,Canada,Kenya,Kenya,1
Port of Spain,243 runs,15/03/2007,ODI # 2534,Bermuda,Sri Lanka,Sri Lanka,1
Kingston,,15/03/2007,ODI # 2535,Ireland,Zimbabwe,tied,1
Gros Islet,6 wickets,16/03/2007,ODI # 2536,England,New Zealand,New Zealand,1
Basseterre,221 runs,16/03/2007,ODI # 2537,Netherlands,South Africa,South Africa,1
Port of Spain,5 wickets,17/03/2007,ODI # 2538,Bangladesh,India,Bangladesh,1
Kingston,3 wickets,17/03/2007,ODI # 2539,Ireland,Pakistan,Ireland,1
Basseterre,229 runs,18/03/2007,ODI # 2540,Australia,Netherlands,Australia,1
Gros Islet,51 runs,18/03/2007,ODI # 2541,Canada,England,England,1
Port of Spain,257 runs,19/03/2007,ODI # 2542,Bermuda,India,India,1
Kingston,6 wickets,19/03/2007,ODI # 2543,West Indies,Zimbabwe,West Indies,1
Gros Islet,148 runs,20/03/2007,ODI # 2544,Kenya,New Zealand,New Zealand,1
Basseterre,7 wickets,20/03/2007,ODI # 2545,Scotland,South Africa,South Africa,1
Port of Spain,198 runs,21/03/2007,ODI # 2546,Bangladesh,Sri Lanka,Sri Lanka,1
Kingston,93 runs,21/03/2007,ODI # 2547,Pakistan,Zimbabwe,Pakistan,1
Gros Islet,114 runs,22/03/2007,ODI # 2548,Canada,New Zealand,New Zealand,1
Basseterre,8 wickets,22/03/2007,ODI # 2549,Netherlands,Scotland,Netherlands,1
Port of Spain,69 runs,23/03/2007,ODI # 2550,India,Sri Lanka,Sri Lanka,1
